,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
448,hamilton,75,CA,74,43.26,-79.87,1.67,8.7
449,frontera,40,MX,52,18.53,-92.64,32.0,4.1
450,tual,68,ID,100,-5.67,132.75,28.08,6.55
451,los reyes,80,MX,86,20.15,-98.16,13.08,1.1
452,hirara,68,JP,100,24.8,125.28,20.28,9.5
453,karratha,32,AU,68,-20.74,116.85,22.03,1.3
454,puerto asis,90,CO,83,0.51,-76.5,27.0,1.5
455,cayenne,76,GF,66,4.94,-52.33,29.0,4.6
456,pontypool,0,GB,70,51.7,-3.03,10.0,7.7
457,longyan,92,CN,94,25.1,117.03,13.58,0.9
458,calama,20,CL,25,-22.46,-68.93,24.0,10.8
459,farrukhnagar,0,IN,46,28.45,76.82,23.0,3.6
460,sulangan,8,PH,100,11.14,123.72,26.33,7.65
461,russell,40,AR,33,-33.01,-68.8,30.0,3.1
462,mocuba,0,MZ,93,-16.84,36.99,19.93,1.2
463,homer,1,US,65,59.64,-151.54,8.89,3.6
464,eureka,1,US,76,40.8,-124.16,16.67,4.1
465,key west,90,US,80,47.93,-96.78,1.11,3.1
466,escarcega,8,MX,28,18.61,-90.75,35.28,1.35
467,abu samrah,88,SY,96,35.3,37.18,10.18,4.3
468,toba,40,JP,70,34.47,136.83,8.0,7.7
469,lakes entrance,64,AU,84,-37.88,147.99,12.22,3.65
470,hailar,12,CN,64,49.2,119.7,-12.52,3.55
471,hostotipaquillo,0,MX,10,21.06,-104.05,31.11,1.79
472,srednekolymsk,0,RU,71,67.46,153.71,-17.12,1.35
473,beian,75,NO,74,63.66,9.57,2.78,10.8
474,mahibadhoo,0,MV,100,3.78,72.97,28.78,0.7
475,codrington,0,AU,87,-28.95,153.24,12.0,3.1
476,rovaniemi,0,FI,58,66.5,25.72,-2.0,4.6
477,mangrol,0,IN,34,25.33,76.51,20.13,2.25
478,ugoofaaru,0,MV,100,5.67,73.0,29.03,0.5
479,pangkalanbuun,36,ID,97,-2.68,111.62,22.38,1.6
480,nantucket,90,US,87,41.28,-70.1,12.0,4.6
481,gladstone,0,AU,68,-23.84,151.26,20.0,2.1
482,agnibilekrou,64,CI,93,7.13,-3.2,23.68,0.8
483,picota,75,PE,290,-6.92,-76.33,17.0,2.1
484,mazarron,92,ES,93,37.6,-1.31,14.0,3.6
485,laukaa,36,FI,77,62.42,25.95,0.56,4.6
486,srivardhan,0,IN,95,18.03,73.02,20.38,1.2
487,almaznyy,0,RU,49,48.03,40.04,8.0,6.0
488,amalapuram,32,IN,87,16.58,82.0,25.43,1.55
489,aranos,68,NA,32,-24.14,19.11,26.18,6.9
490,riyadh,5,SA,78,24.63,46.72,22.0,2.1
491,severo-yeniseyskiy,68,RU,81,60.37,93.04,1.98,4.0
492,kununurra,0,AU,56,-15.77,128.74,22.0,3.1
493,saint-francois,0,FR,57,46.42,3.91,10.0,1.8
494,ciudad bolivar,0,VE,29,8.12,-63.55,37.28,5.95
495,tomari,44,RU,89,47.76,142.06,-5.17,4.95
496,matai,20,TZ,100,-8.3,31.52,17.0,0.6
497,kungurtug,36,RU,68,50.6,97.53,-13.92,1.0
498,zhicheng,0,CN,61,35.04,112.59,1.53,0.85
499,aklavik,90,CA,80,68.22,-135.01,2.0,7.2
500,leiyang,92,CN,100,26.42,112.85,11.18,2.6
501,senno,32,RU,69,57.76,27.95,3.0,6.0
502,beira,0,ES,87,43.2,-8.36,15.0,1.0
503,sirjan,36,IR,77,29.44,55.67,8.68,3.0
504,willmar,1,US,64,45.12,-95.04,6.11,6.2
505,san vicente,40,SV,70,13.64,-88.78,30.0,5.1
506,draguignan,0,FR,70,43.54,6.46,12.0,2.1
507,nabire,24,ID,94,-3.36,135.5,19.28,0.85
508,robertsport,64,LR,98,6.75,-11.37,28.08,2.2
509,loharu,0,IN,52,28.43,75.81,17.93,1.5
510,torres,24,BR,92,-29.34,-49.73,22.88,1.65
511,te anau,64,NZ,78,-45.41,167.72,9.33,6.7
512,bandarbeyla,92,SO,100,9.49,50.81,26.08,3.25
513,bakchar,88,RU,92,57.02,82.07,-0.07,4.0
514,baykit,92,RU,94,61.68,96.39,0.08,3.45
515,walvis bay,32,NA,56,-22.95,14.51,22.0,2.6
516,chino valley,20,US,13,34.76,-112.45,22.22,4.6
517,arlit,8,NE,26,18.74,7.39,25.68,1.3
518,ocampo,8,PH,98,13.56,123.37,22.88,3.1
519,katherine,20,AU,78,-14.47,132.26,23.0,3.1
520,kosa,92,RU,90,59.94,54.99,-1.22,3.55
521,husavik,20,CA,46,50.56,-96.99,4.44,2.24
522,izhma,48,RU,77,65.01,53.91,-1.97,2.6
523,ampanihy,0,MG,92,-24.69,44.75,18.08,2.1
524,mareeba,40,AU,88,-16.99,145.42,25.0,3.1
525,madimba,20,CM,94,4.42,9.93,27.0,1.0
526,tucano,44,BR,83,-10.96,-38.79,25.88,3.85
527,komsomolskiy,64,RU,90,67.55,63.78,-2.82,7.45
528,urucara,24,BR,72,-2.54,-57.76,30.13,1.25
529,mecca,12,SA,39,21.43,39.83,18.13,3.2
530,karangampel,48,ID,100,-6.46,108.44,26.58,2.05
531,anton lizardo,75,MX,64,19.05,-95.98,24.0,14.4
532,shaowu,92,CN,99,27.34,117.49,10.58,0.8
533,melnikovo,8,RU,91,56.55,84.09,1.11,3.58
534,fare,0,PF,100,-16.7,-151.02,28.88,2.1
535,qeshm,0,IR,73,26.96,56.27,24.0,2.1
536,carupano,12,VE,74,10.67,-63.26,27.18,6.9
537,griffith,44,AU,81,-34.29,146.06,12.0,1.6
538,salalah,75,OM,74,17.01,54.1,26.0,2.6
539,sioni,90,GE,93,41.99,45.02,3.0,1.0
540,biltine,0,TD,21,14.53,20.93,25.23,4.35
541,klaksvik,88,FO,87,62.23,-6.59,6.0,4.6
542,axim,0,GH,98,4.87,-2.24,28.48,3.6
543,bambanglipuro,0,ID,98,-7.95,110.28,21.38,1.05
544,russkaya polyana,0,RU,86,53.78,73.88,-3.07,4.1
